Store,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50
13,2,2,7,19,24,30,32,25,27,26,24,23,24,28,18,19,10,12,19,20,21,19,17,19,14,9,17,9,15,6,6,7,9,3,4,4,7,3,2,2,2,4,1,1,2,2,1,NA,NA,NA
14,4,13,20,30,24,15,12,16,31,36,57,38,45,38,33,41,44,34,38,24,27,18,10,10,14,12,12,11,9,6,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1,2,8,13,22,36,47,48,44,45,30,34,30,27,27,31,33,24,37,26,26,21,19,13,12,12,13,9,9,6,3,3,7,3,2,4,1,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,5,7,8,11,24,20,14,14,9,17,22,17,27,26,40,24,36,29,35,34,28,26,23,18,19,21,19,18,20,14,9,14,9,13,8,6,11,7,7,6,2,2,2,4,1,1,1,NA,NA,NA
17,21,21,38,24,8,6,1,3,7,15,30,34,51,45,35,28,24,17,20,24,31,22,31,29,21,13,9,14,13,15,13,8,16,7,7,5,4,8,4,4,2,2,2,1,NA,NA,NA,NA,NA,NA
18,1,1,2,11,14,23,34,21,32,27,28,33,38,41,30,27,32,29,25,33,38,29,34,20,18,17,12,8,8,6,5,15,4,9,7,7,5,4,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
19,1,4,8,16,19,21,23,22,20,24,41,43,39,39,25,24,30,26,31,26,28,39,31,14,18,15,16,7,10,6,9,14,5,11,5,8,3,1,1,3,1,1,1,1,NA,NA,NA,NA,NA,NA
20,1,3,5,8,7,6,10,15,17,11,9,9,9,8,14,13,12,17,19,25,31,31,25,14,30,23,34,18,22,20,15,18,12,12,16,8,12,9,3,7,5,2,3,3,1,1,2,NA,NA,NA
21,14,20,36,44,42,39,27,24,22,30,30,34,24,22,38,36,31,22,24,22,15,22,14,16,15,10,8,10,6,2,3,1,3,5,5,1,2,3,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
22,4,5,5,8,20,19,27,33,24,15,21,29,28,26,18,18,26,20,14,23,16,22,20,13,15,16,10,9,13,9,13,8,5,6,8,2,6,5,2,2,3,3,1,2,1,1,1,NA,NA,NA
23,1,1,1,2,2,6,13,27,24,47,42,50,37,31,31,26,25,18,16,33,33,23,29,30,26,20,15,12,13,10,10,8,4,9,4,7,10,7,1,5,4,4,6,2,1,2,2,NA,NA,NA
24,1,1,7,18,32,52,59,65,52,36,42,20,37,25,49,38,41,26,19,13,14,11,17,6,8,10,3,7,1,3,4,1,2,2,2,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,2,1,2,1,1,1,1,2,4,10,26,38,74,69,49,46,53,49,41,53,27,27,26,20,25,8,11,10,9,4,1,1,1,3,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1,1,5,7,11,28,23,36,27,50,42,36,38,30,27,23,18,27,27,35,33,36,36,19,18,9,3,4,7,12,4,7,6,6,13,4,8,8,3,2,1,1,1,NA,NA,NA,NA,NA,NA,NA
27,2,4,19,51,67,82,70,51,26,25,28,24,48,37,36,18,26,20,11,14,15,11,10,9,10,1,3,1,2,1,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,3,11,21,28,45,26,24,37,45,80,63,54,42,56,32,34,23,22,18,9,12,8,10,6,7,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1,1,1,5,17,34,33,49,38,44,47,33,43,34,28,47,27,35,27,25,19,16,11,15,8,10,7,12,3,7,4,7,6,5,5,6,5,2,4,2,1,1,3,1,1,NA,NA,NA,NA,NA
30,1,1,1,1,2,3,9,10,23,24,28,27,32,31,36,31,31,24,27,45,36,25,44,30,19,23,26,21,16,12,7,11,8,9,6,8,13,5,1,6,2,5,2,1,2,3,NA,NA,NA,NA
31,3,5,3,12,21,21,29,25,33,35,27,37,30,31,37,39,41,26,40,29,30,22,23,20,17,20,8,8,13,8,4,7,4,4,5,2,2,2,5,1,1,2,2,1,NA,NA,NA,NA,NA,NA
32,4,12,16,18,20,11,10,8,11,17,16,21,42,20,22,29,23,15,11,11,15,18,15,22,17,22,17,15,7,10,14,10,14,6,12,8,9,5,6,3,4,4,1,1,2,1,2,NA,NA,NA
33,1,1,1,1,1,9,16,20,31,44,37,33,32,37,40,38,52,47,34,35,38,23,27,22,22,14,10,12,8,6,11,7,3,8,1,3,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,1,2,13,17,21,27,30,27,22,38,36,30,33,26,38,33,32,39,32,29,24,23,12,13,11,8,14,16,10,6,4,6,7,11,6,5,5,7,2,2,5,3,2,3,1,2,1,NA,NA,NA
35,6,9,39,58,70,66,51,35,28,27,36,42,37,39,27,26,18,14,11,15,11,11,7,6,8,4,6,2,7,3,1,2,2,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,1,2,3,3,8,4,14,9,14,19,28,18,20,28,38,31,42,39,24,32,29,23,22,9,13,24,19,9,8,12,6,8,4,9,3,7,8,3,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,2,7,8,11,11,19,22,28,31,26,18,11,14,27,18,21,33,38,31,26,30,43,26,40,36,22,17,18,20,14,14,4,7,9,4,4,2,5,3,1,1,1,2,2,1,1,2,NA,NA,NA
38,1,2,1,6,15,26,28,50,30,37,27,16,18,17,26,42,36,29,54,38,39,25,22,19,11,12,6,11,10,11,5,7,9,3,7,5,4,7,3,3,3,6,1,1,1,NA,NA,NA,NA,NA
39,3,9,21,31,35,37,53,65,57,30,27,27,33,31,34,31,22,22,21,22,11,9,9,13,11,9,14,10,7,7,6,3,2,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,1,1,1,1,1,2,8,14,9,24,24,34,32,35,33,49,43,47,36,28,41,41,37,48,31,18,21,13,12,11,7,8,9,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,1,1,1,6,6,11,14,13,21,26,37,29,32,32,30,26,33,35,33,23,29,24,16,20,21,6,11,8,8,5,2,7,5,7,1,6,1,4,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
42,1,6,2,11,19,30,51,52,62,49,38,35,28,24,28,22,36,38,29,19,21,27,19,8,11,5,15,9,5,6,5,4,6,1,2,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,1,1,4,3,3,7,19,24,31,42,37,43,44,40,30,33,32,32,26,35,31,21,34,25,25,18,16,12,7,13,9,3,3,8,4,4,4,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,3,6,8,18,29,22,28,25,48,31,38,44,27,33,20,18,24,30,14,29,22,21,26,22,17,19,9,11,12,5,9,7,10,6,11,2,6,6,3,1,3,3,4,2,1,2,NA,NA,NA,NA
45,1,1,4,7,7,12,20,29,35,14,20,24,23,30,20,27,31,38,39,37,44,36,34,28,24,26,14,17,6,16,11,11,7,6,10,3,6,2,2,3,2,1,2,NA,NA,NA,NA,NA,NA,NA
46,1,7,25,34,33,43,34,30,24,27,29,33,17,24,36,22,29,22,18,18,13,11,7,6,8,8,8,5,3,2,6,1,4,4,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,5,9,10,21,36,30,35,39,37,46,35,34,32,16,22,21,29,19,19,32,32,21,27,12,19,14,14,13,5,9,6,7,3,2,3,1,4,5,3,1,1,1,2,2,1,NA,NA,NA,NA,NA
48,2,2,6,8,5,11,14,14,16,17,13,30,24,30,26,31,38,31,34,40,30,29,34,18,34,19,22,13,16,19,17,19,15,11,6,2,7,4,4,5,4,5,4,2,3,1,NA,NA,NA,NA
49,1,1,3,7,8,12,27,32,35,39,46,36,34,29,48,44,41,46,34,32,21,18,17,18,18,12,11,13,4,11,7,4,5,2,2,1,1,1,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA
50,1,2,3,12,15,24,27,36,20,34,24,21,21,30,35,41,39,36,32,35,43,33,23,16,10,11,18,8,6,9,11,9,11,6,3,6,1,5,2,3,3,1,1,3,NA,NA,NA,NA,NA,NA
51,1,1,6,8,14,17,15,17,21,20,35,19,31,28,18,26,25,28,22,28,29,30,28,27,16,8,14,7,16,4,4,2,4,3,4,3,2,1,5,2,1,1,2,2,1,2,NA,NA,NA,NA
52,3,2,7,12,8,17,8,14,15,16,22,26,34,31,23,25,24,30,32,20,23,29,25,26,16,17,17,14,10,9,9,6,6,1,2,1,3,3,1,2,1,2,1,1,3,1,NA,NA,NA,NA
53,2,1,1,4,14,16,15,15,18,23,34,24,29,41,30,36,37,32,26,28,37,29,38,26,24,18,23,16,10,6,14,17,12,5,7,5,2,7,1,2,2,1,4,1,1,1,NA,NA,NA,NA
54,1,2,7,14,11,34,27,35,25,18,24,21,29,23,29,25,28,46,38,56,33,30,34,22,17,18,10,16,13,13,8,4,6,8,3,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
55,3,7,3,9,6,14,19,25,22,17,25,27,26,34,30,36,36,30,24,24,17,21,15,17,23,17,24,20,22,20,14,9,6,11,10,5,12,5,6,7,11,3,3,2,1,6,2,3,2,NA
56,1,3,3,14,12,14,12,19,15,19,24,27,30,31,15,29,29,26,28,41,29,22,33,35,28,22,27,21,17,21,16,9,14,7,5,10,4,2,5,5,1,1,1,1,2,1,1,NA,NA,NA
57,1,3,32,47,52,75,84,87,56,64,41,44,29,24,21,13,10,6,7,9,9,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,7,10,22,22,47,39,40,41,41,28,48,26,31,33,25,18,19,12,15,7,8,9,7,3,5,7,1,1,7,5,2,2,2,1,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,2,19,28,36,24,8,1,2,2,12,25,38,52,56,39,38,48,34,40,47,29,21,20,18,9,11,10,10,16,8,6,7,4,4,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,3,9,15,9,20,17,26,15,17,25,48,42,45,45,23,38,23,21,25,16,22,33,34,17,16,15,17,15,8,10,8,9,6,9,5,1,4,4,3,4,3,2,1,2,1,NA,NA,NA,NA,NA
61,1,1,3,17,26,40,45,48,52,62,61,65,57,45,42,31,32,26,19,12,15,8,3,3,3,2,3,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,2,1,2,4,4,15,28,27,19,9,10,8,8,5,10,14,30,35,42,31,35,27,35,34,37,29,32,26,18,12,14,17,14,14,13,10,10,11,7,7,7,6,1,3,3,4,NA,NA,NA,NA
63,5,5,5,5,18,23,25,23,23,22,22,30,13,19,29,27,41,22,38,42,39,33,40,27,23,20,17,13,11,12,7,6,7,5,7,2,1,4,7,3,6,1,2,3,2,NA,NA,NA,NA,NA
64,1,6,3,5,12,17,26,25,34,36,35,30,40,32,37,39,29,38,27,40,37,33,20,25,15,10,11,12,6,5,11,6,5,4,2,1,4,3,1,2,1,1,1,1,1,NA,NA,NA,NA,NA
65,7,10,23,29,23,17,17,17,29,35,39,42,34,31,23,17,39,34,30,43,27,22,28,13,14,15,6,13,12,2,6,5,8,8,2,2,2,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA
66,2,6,5,10,16,16,21,28,24,28,24,31,32,44,51,43,31,42,43,27,34,19,25,18,8,18,18,16,4,8,8,5,5,3,3,4,1,1,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,1,1,2,4,9,16,25,28,26,34,38,52,39,39,28,24,22,19,22,29,25,25,29,21,10,20,14,13,15,12,7,11,14,7,11,7,3,4,7,2,3,1,4,2,2,1,NA,NA,NA,NA
68,1,1,1,11,11,22,35,42,57,80,63,65,63,53,42,32,33,29,20,10,10,9,10,5,7,4,3,2,1,1,3,2,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,1,1,4,1,10,21,40,52,36,64,53,39,41,47,36,31,31,33,30,28,21,24,13,13,11,9,8,10,5,6,4,1,3,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,2,1,4,6,10,15,31,35,40,43,35,35,31,25,22,36,19,25,35,28,26,21,26,24,16,14,9,5,15,7,8,5,7,7,6,2,11,4,9,6,5,4,3,4,4,1,3,1,2,NA
71,4,2,1,3,9,27,24,31,57,52,49,37,33,26,8,14,18,15,20,20,19,24,21,27,18,12,18,17,14,14,11,8,9,7,10,7,4,6,5,4,8,2,1,4,2,1,1,4,2,NA
72,5,16,22,33,22,15,42,58,42,32,20,20,20,24,39,17,27,25,11,11,10,12,10,10,6,5,5,8,7,3,5,5,3,2,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,3,8,9,18,16,26,12,10,4,10,3,2,7,7,15,17,28,27,37,29,33,36,38,21,30,34,23,23,35,17,13,13,14,9,18,5,11,19,10,6,10,7,5,4,4,2,4,2,1,NA
74,2,1,4,1,6,2,12,20,31,35,55,56,38,34,30,34,30,30,25,28,28,22,16,21,14,14,16,10,12,13,10,8,8,8,6,8,4,7,4,5,2,2,5,3,2,1,1,2,1,NA
75,1,4,6,15,11,25,26,32,34,39,41,53,49,52,52,40,43,34,25,19,17,18,19,11,12,8,11,7,4,2,4,6,5,1,1,3,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,5,6,13,9,14,13,26,28,34,34,31,35,29,39,24,37,18,20,18,19,16,15,10,16,4,7,8,6,1,7,2,8,2,6,7,8,3,5,3,2,4,3,1,3,NA,NA,NA,NA,NA,NA
77,1,1,5,7,14,27,41,33,37,33,32,46,28,40,58,52,45,43,32,24,19,12,11,8,12,14,11,4,12,11,7,1,4,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,2,2,1,1,6,8,16,15,16,15,45,31,35,38,29,34,32,25,15,20,31,16,33,39,25,26,25,15,15,11,9,10,13,10,9,5,7,8,6,3,4,8,5,3,2,1,1,2,2,1
79,1,5,10,15,42,46,41,43,37,48,27,26,20,14,18,22,28,14,28,18,21,20,17,18,12,14,12,8,4,9,9,9,6,10,5,7,9,5,4,4,7,3,1,4,2,2,1,2,NA,NA
80,1,1,7,7,21,15,30,20,30,22,26,21,27,24,32,24,33,29,58,47,30,42,28,35,10,17,13,9,12,7,10,9,6,4,8,4,4,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,2,1,1,8,5,7,9,21,18,17,25,28,21,22,28,33,27,33,21,22,20,20,15,18,20,15,23,15,26,12,6,15,8,7,6,5,6,4,1,2,1,2,2,NA,NA,NA,NA,NA,NA,NA
82,1,1,2,2,15,18,30,25,31,28,36,54,37,35,25,24,22,18,19,21,30,47,29,31,19,16,22,18,8,12,7,8,6,9,4,5,4,5,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
83,1,1,1,1,2,2,4,6,6,10,18,29,33,31,40,38,41,40,38,32,31,25,22,33,20,23,22,22,19,13,15,19,13,13,6,12,6,8,5,5,6,4,4,3,4,3,NA,NA,NA,NA
84,1,1,1,2,5,11,16,33,44,57,52,46,42,33,28,34,20,29,26,22,17,27,22,19,18,14,10,6,16,9,8,9,10,8,4,4,6,6,2,1,3,2,3,1,1,1,NA,NA,NA,NA
85,1,2,8,12,22,59,65,69,55,51,49,54,51,49,40,41,24,16,14,23,17,11,9,6,4,5,1,3,8,5,7,6,9,14,11,7,11,5,3,5,6,5,5,4,2,3,1,1,1,NA
86,1,2,1,2,1,3,5,7,25,53,75,86,41,41,25,28,28,34,31,37,27,28,26,25,13,11,11,15,9,10,9,7,5,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,2,3,12,21,22,19,11,11,5,7,8,9,7,17,23,25,36,39,29,25,42,38,41,32,28,29,25,25,18,14,9,13,8,6,7,13,11,5,9,4,2,7,4,5,2,1,2,1,3,NA
88,10,27,41,21,16,5,3,1,1,4,10,28,53,50,49,30,25,25,24,29,36,27,36,26,24,10,13,14,14,11,15,7,9,6,6,9,2,4,5,2,1,1,1,NA,NA,NA,NA,NA,NA,NA
89,2,1,3,8,16,8,5,17,18,16,16,18,18,23,27,26,28,21,28,29,28,28,18,18,18,21,15,13,10,15,11,13,7,8,4,4,5,6,6,6,6,1,1,1,4,2,1,NA,NA,NA
90,1,1,3,6,3,8,20,33,37,59,63,57,49,40,30,38,30,43,35,23,15,11,27,9,6,16,11,6,8,12,5,6,5,3,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,1,1,2,4,17,21,23,31,19,34,28,32,37,39,34,32,42,44,50,30,21,21,20,17,14,15,14,17,9,12,5,6,6,5,7,5,1,1,1,3,1,1,2,1,1,1,1,NA,NA,NA
92,1,1,2,6,7,22,30,33,30,30,41,35,37,35,22,29,24,35,33,32,29,31,17,25,16,21,9,10,9,8,6,7,8,9,7,5,6,5,4,3,1,1,4,1,3,NA,NA,NA,NA,NA
93,10,12,22,27,20,17,10,5,11,23,37,39,39,27,28,29,29,28,39,30,32,25,30,20,28,16,13,14,23,12,4,4,9,5,3,3,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,4,10,22,55,77,59,52,43,35,28,16,28,31,39,37,22,27,21,15,9,12,10,6,8,14,10,11,8,10,1,4,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,1,1,8,12,8,23,10,23,21,18,19,19,19,38,33,28,34,27,34,28,19,29,29,18,26,16,18,17,11,12,18,13,15,6,8,4,15,5,10,5,4,6,6,4,4,4,2,2,1,NA
96,2,21,41,38,14,5,2,2,7,16,44,43,55,56,40,27,26,22,25,22,28,21,23,19,17,14,14,17,9,8,12,6,6,7,6,7,3,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,2,1,6,11,33,20,26,20,13,16,25,34,33,40,34,28,14,16,17,24,27,28,22,34,25,18,23,21,12,15,8,12,6,3,5,9,8,9,2,7,6,4,6,3,1,1,1,1,1,NA
98,4,3,4,13,18,24,25,27,31,40,30,32,37,25,48,32,35,31,35,34,26,21,22,21,13,11,16,11,7,7,4,5,8,7,1,5,4,3,3,1,1,1,1,1,2,NA,NA,NA,NA,NA
99,1,1,1,1,11,13,23,28,30,36,23,29,33,25,28,30,27,35,21,27,25,19,18,20,14,13,14,9,10,9,3,4,4,4,1,1,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
100,2,1,8,15,32,36,49,71,62,60,58,41,35,35,20,15,13,8,8,2,2,4,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,3,4,10,14,24,23,24,31,35,33,29,21,25,31,26,20,24,30,19,27,32,22,28,26,23,10,14,13,16,14,12,6,6,8,6,5,5,10,5,3,5,2,1,1,2,1,1,3,1,1
102,2,1,3,6,18,41,68,68,58,49,35,39,35,37,33,33,29,20,31,18,17,12,8,7,6,15,14,7,4,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,13,25,32,83,90,107,75,55,36,28,9,17,4,3,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,1,3,3,5,10,21,17,25,22,21,33,32,23,37,41,31,31,32,37,24,22,27,18,17,24,32,25,17,24,14,17,6,12,7,5,4,3,2,1,4,1,1,1,1,1,NA,NA,NA,NA,NA
105,15,24,44,49,69,88,85,78,72,52,39,32,15,13,16,6,3,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,18,56,43,46,77,90,93,94,64,57,32,23,19,7,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,3,2,4,1,7,14,19,18,25,26,27,14,42,28,34,22,35,33,27,29,31,31,33,25,26,18,13,15,14,12,7,6,7,10,8,10,6,4,5,6,7,5,6,5,3,5,4,1,1,1
108,2,1,2,1,4,7,8,20,16,29,26,33,31,36,27,31,34,23,29,23,26,26,18,26,15,16,11,9,3,13,1,5,6,3,2,5,9,4,4,3,4,3,1,2,NA,NA,NA,NA,NA,NA
109,4,4,6,13,17,28,34,35,40,41,30,39,31,42,27,25,18,26,36,15,38,21,21,12,18,6,14,7,13,9,9,10,7,6,5,9,1,1,4,6,1,2,1,1,2,NA,NA,NA,NA,NA
110,2,1,4,7,10,14,9,25,19,17,15,29,31,41,37,47,49,37,32,37,39,35,27,25,16,25,17,21,10,7,6,10,6,3,6,6,1,2,2,1,3,1,1,1,1,NA,NA,NA,NA,NA
111,1,3,2,2,11,19,26,33,29,28,29,34,31,29,47,37,42,31,27,46,29,29,33,16,20,18,12,13,7,6,10,8,2,9,4,1,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
112,1,1,1,1,2,3,6,15,9,24,23,29,33,34,40,41,47,52,45,44,33,29,31,33,22,18,11,11,12,12,9,16,6,7,5,3,4,4,5,2,2,3,1,1,1,1,2,NA,NA,NA
113,3,3,7,10,16,6,11,15,20,21,23,31,27,33,32,32,29,21,26,38,19,21,27,14,17,13,17,9,8,3,9,5,5,5,5,4,2,6,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
114,1,4,10,10,21,21,32,26,37,31,36,28,35,37,36,30,32,30,35,30,27,21,31,20,12,15,12,11,7,7,3,7,12,9,3,4,3,3,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
115,1,1,3,4,3,14,15,20,18,26,28,34,20,26,29,35,34,16,20,23,26,20,26,27,17,14,25,11,10,6,10,7,4,5,6,3,2,3,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
116,1,4,4,10,10,26,33,32,33,41,40,36,21,30,39,36,20,44,22,38,21,28,26,13,14,15,8,8,7,11,9,7,7,7,7,3,5,5,1,2,3,1,2,2,1,1,NA,NA,NA,NA
117,1,3,3,5,17,9,22,17,14,14,9,11,12,16,17,21,38,27,37,32,33,23,32,28,27,28,23,23,26,15,24,7,14,16,11,7,10,3,14,8,7,4,8,1,5,2,4,1,1,NA
118,1,1,2,5,8,25,30,49,46,27,26,33,39,44,44,50,50,33,31,28,24,14,11,11,9,11,4,6,5,7,11,4,9,5,3,3,6,5,3,3,2,2,2,1,NA,NA,NA,NA,NA,NA
119,2,8,13,24,31,46,32,44,34,36,33,28,32,40,28,31,31,33,19,15,20,15,17,18,8,12,10,9,12,5,10,4,8,10,5,5,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1,1,10,21,40,48,69,53,64,39,40,43,45,47,40,23,20,18,19,9,16,15,12,11,8,5,5,2,2,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,2,8,10,14,30,24,8,10,6,3,7,8,11,19,14,25,29,21,33,32,33,30,22,35,24,23,35,34,17,20,19,16,15,14,13,8,13,8,10,3,5,6,1,4,5,2,1,1,NA,NA
122,1,3,9,8,12,17,7,13,15,13,23,35,35,50,65,52,69,53,35,56,28,27,34,24,23,18,22,12,13,11,9,6,5,2,6,4,3,3,2,2,1,3,1,2,NA,NA,NA,NA,NA,NA
123,8,46,43,18,4,6,23,73,73,77,56,45,34,33,50,25,20,16,22,16,9,7,7,1,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,1,4,2,11,22,26,20,19,20,13,25,31,45,40,38,43,41,36,48,31,29,31,26,28,24,15,12,7,9,4,4,7,1,3,1,4,5,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,1,1,1,1,7,12,4,16,25,32,28,37,36,40,43,40,30,30,26,38,20,34,35,22,18,25,19,8,15,10,15,7,10,10,6,7,3,7,2,2,3,2,3,4,NA,NA,NA,NA,NA,NA
