Store,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30
490,1,1,3,9,18,34,59,47,50,48,51,59,47,34,28,37,27,16,11,10,3,3,1,1,NA,NA,NA,NA,NA,NA
601,1,2,5,17,44,74,62,64,77,79,71,66,47,41,35,10,13,7,4,4,3,1,2,1,2,NA,NA,NA,NA,NA
258,1,2,2,10,16,49,44,65,50,51,55,48,46,39,30,22,17,10,13,8,5,7,4,3,1,NA,NA,NA,NA,NA
386,9,42,51,63,83,78,79,61,33,35,31,35,26,26,21,7,10,11,5,4,4,6,2,2,2,2,1,1,NA,NA
319,11,10,21,36,47,45,50,59,46,43,56,52,48,44,31,32,25,17,18,10,9,7,6,2,4,1,2,1,2,NA
711,1,1,9,19,52,71,80,59,35,40,27,50,43,18,25,19,17,10,6,8,2,2,1,2,1,1,NA,NA,NA,NA
206,2,12,22,38,45,35,63,74,59,81,52,44,58,33,36,20,16,14,7,2,7,1,3,2,1,1,1,1,NA,NA
820,4,5,5,19,30,31,37,39,45,36,62,39,46,38,39,18,21,12,12,14,12,10,7,7,3,1,2,1,1,2
135,1,8,34,46,60,43,42,48,55,83,83,55,45,45,20,17,13,12,8,5,2,1,2,1,1,2,NA,NA,NA,NA
815,5,15,25,23,22,32,33,29,31,29,48,29,34,38,35,33,24,23,15,14,9,11,7,11,7,4,5,2,1,4
162,8,23,58,56,56,52,56,79,60,58,57,47,26,14,20,13,10,15,7,4,7,1,2,1,1,1,NA,NA,NA,NA
1001,19,42,41,51,97,74,55,39,52,64,44,40,23,20,14,20,12,10,5,3,2,2,1,1,1,1,NA,NA,NA,NA
58,13,31,64,61,78,50,61,56,46,28,27,16,14,12,6,8,5,8,4,2,3,1,2,2,1,NA,NA,NA,NA,NA
526,1,1,3,14,30,40,44,51,75,45,43,36,42,29,46,27,37,19,9,16,21,26,19,13,13,11,11,8,3,NA
1092,3,4,2,7,14,23,28,46,40,36,40,39,33,34,30,34,21,28,34,22,27,15,16,6,3,3,3,2,2,3
573,4,7,9,28,30,43,47,60,44,28,27,32,29,20,28,29,18,23,25,13,15,12,11,6,3,3,2,1,1,NA
110,3,6,15,18,33,33,27,60,66,82,62,58,64,50,28,35,31,14,11,13,7,7,4,1,4,1,2,NA,NA,NA
981,3,18,38,68,68,50,50,52,32,44,53,48,37,29,22,17,14,10,12,11,10,10,9,6,7,2,2,3,4,2
301,4,4,13,31,45,49,49,60,33,45,54,44,49,54,41,36,28,26,17,20,7,10,6,2,3,1,2,2,NA,NA
569,1,3,8,14,22,21,24,9,11,10,19,38,44,58,60,60,63,57,44,49,33,18,25,12,8,4,9,4,4,3
379,1,6,17,36,77,71,67,54,52,31,46,58,44,33,27,14,15,17,12,16,14,6,7,4,2,3,2,2,1,NA
1098,19,41,38,16,6,4,3,20,34,56,40,53,56,63,45,42,39,26,24,16,13,17,21,11,5,6,5,5,2,5
788,3,2,6,17,30,48,66,72,61,46,44,57,57,43,23,33,25,11,13,15,11,15,14,9,5,4,2,1,2,NA
223,5,25,47,92,89,66,45,49,53,53,44,37,20,29,15,13,11,14,7,5,6,3,1,2,1,1,NA,NA,NA,NA
1053,6,21,39,61,81,83,45,34,22,32,36,39,30,24,19,23,26,19,18,10,21,8,8,7,11,3,5,1,1,2
876,53,55,10,4,10,51,72,81,80,53,49,35,38,31,31,33,18,6,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA
972,21,63,26,56,103,91,88,74,42,20,19,23,9,14,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,7,16,55,59,75,52,63,61,69,52,42,41,33,25,14,12,14,11,6,8,4,4,2,4,3,2,1,NA,NA,NA
305,1,4,16,31,44,51,56,64,53,53,38,49,41,40,47,34,24,10,12,7,11,10,7,7,9,5,4,1,1,2
398,1,3,13,45,65,66,45,63,52,63,67,51,52,49,19,23,19,7,14,6,3,2,2,1,1,2,1,NA,NA,NA
853,6,14,28,55,81,73,62,41,46,38,35,47,42,29,17,21,16,20,14,15,6,4,11,3,1,1,1,1,NA,NA
873,3,8,12,18,24,24,15,14,10,17,29,43,35,52,49,63,56,37,49,32,31,17,19,19,18,7,11,7,8,4
89,2,8,20,12,22,30,25,37,40,41,46,45,47,34,29,33,20,21,20,14,9,8,10,9,7,2,4,2,1,NA
460,9,28,40,28,15,16,24,45,70,60,47,34,57,56,38,26,28,17,18,17,17,10,10,7,6,4,2,1,1,NA
1052,2,1,2,16,22,40,53,85,46,63,40,41,49,55,33,29,32,18,14,15,11,11,11,11,8,2,6,9,4,1
763,1,1,8,9,23,50,29,51,40,68,47,49,52,48,47,40,41,35,12,11,16,10,6,13,10,9,3,4,2,NA
137,1,1,1,2,6,8,36,74,83,66,50,55,58,30,35,28,22,14,16,4,3,3,2,NA,NA,NA,NA,NA,NA,NA
113,4,12,23,14,23,36,40,57,49,50,41,55,33,38,27,23,19,8,10,11,8,4,3,7,1,1,1,NA,NA,NA
1100,2,2,24,77,115,121,54,60,76,51,47,22,27,17,12,9,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
995,3,9,31,37,47,62,48,48,48,44,33,40,34,45,26,31,29,17,22,18,11,8,6,7,7,6,5,4,4,1
716,3,5,11,21,36,39,28,31,40,46,39,47,41,37,38,32,30,25,13,10,5,3,7,2,3,1,2,1,2,NA
984,2,1,2,1,11,45,110,68,43,46,66,68,77,49,30,29,22,21,15,5,4,6,2,1,1,1,1,NA,NA,NA
581,6,18,45,42,12,10,16,51,72,59,35,37,27,29,42,34,38,23,19,20,17,18,18,5,9,6,9,6,4,3
629,4,7,15,24,20,33,38,41,48,61,54,54,44,38,26,25,17,14,8,8,8,2,3,3,1,1,1,NA,NA,NA
293,2,3,16,33,55,95,67,60,32,34,38,45,36,39,31,15,20,17,11,12,16,8,10,12,13,3,6,2,2,1
909,1,1,9,153,117,56,84,70,35,34,10,5,2,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,6,13,36,39,54,53,41,40,51,37,43,40,41,53,37,19,20,28,17,12,9,9,15,4,7,2,2,2,4,1
578,6,2,3,10,18,20,22,47,42,51,67,76,89,81,62,52,56,40,26,12,14,22,9,8,4,1,2,3,2,1
983,2,4,61,77,77,116,96,86,80,46,31,15,13,11,6,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
874,3,6,17,30,36,49,42,50,66,65,71,51,46,47,26,22,23,8,14,13,10,13,8,7,3,4,3,1,1,NA
277,2,7,22,37,48,60,50,54,38,38,22,34,26,31,27,17,27,16,8,12,5,7,2,2,1,3,1,1,NA,NA
102,2,1,3,14,71,116,91,61,64,61,54,37,45,28,13,10,24,15,5,2,2,1,1,1,NA,NA,NA,NA,NA,NA
525,1,1,6,9,20,36,22,28,36,43,50,42,50,65,60,40,38,42,31,23,24,12,14,12,9,6,2,4,5,3
36,1,2,6,11,21,17,39,33,41,61,60,53,46,48,21,29,29,15,16,12,11,9,10,5,1,1,NA,NA,NA,NA
171,3,11,35,44,70,71,62,47,31,43,36,44,36,44,14,24,16,12,17,11,6,7,7,11,14,2,3,6,2,1
696,3,9,10,25,46,56,66,59,56,43,54,44,40,41,33,23,38,14,14,18,10,10,7,6,3,2,1,1,1,2
1003,6,1,9,26,69,82,74,70,55,52,49,46,37,34,23,16,12,23,13,14,7,2,2,5,2,1,NA,NA,NA,NA
31,6,9,29,37,44,62,48,56,58,67,51,57,47,34,31,26,14,17,10,6,8,3,4,5,3,2,1,NA,NA,NA
903,4,2,7,17,30,33,44,37,53,58,54,52,44,41,34,17,20,16,12,5,7,3,3,1,3,1,NA,NA,NA,NA
442,4,16,40,57,61,53,19,19,29,53,61,57,66,42,35,28,18,15,12,15,4,9,4,4,3,2,1,1,NA,NA
468,9,26,44,56,85,93,76,77,65,52,35,25,25,21,9,12,6,11,2,1,3,1,1,NA,NA,NA,NA,NA,NA,NA
1026,3,3,4,25,70,82,70,66,36,45,39,39,32,33,35,37,29,17,19,15,12,4,13,1,1,NA,NA,NA,NA,NA
237,4,1,3,7,20,20,36,29,42,46,51,60,52,52,50,43,36,44,26,26,26,14,13,9,2,5,4,6,4,4
511,1,5,5,13,24,31,40,45,60,59,62,67,61,51,44,39,26,18,18,6,9,16,10,6,5,3,7,2,2,NA
522,1,1,5,13,31,40,41,45,49,53,72,51,45,41,25,18,26,11,7,6,1,1,4,1,5,1,3,1,1,NA
1051,11,25,55,59,79,62,44,49,45,52,51,38,41,32,24,17,5,9,6,1,2,5,2,2,1,NA,NA,NA,NA,NA
631,2,2,12,30,57,59,84,71,42,48,46,57,34,34,27,25,26,16,20,12,7,9,5,3,1,1,1,3,1,NA
407,1,3,3,12,28,34,46,39,38,52,50,64,43,44,40,21,20,17,15,8,6,1,2,6,2,1,2,NA,NA,NA
677,1,1,6,12,17,22,30,32,42,48,46,51,44,39,40,34,27,28,14,9,8,13,12,3,5,2,5,3,3,1
823,1,3,6,24,32,43,47,55,58,49,48,42,37,50,56,30,33,29,23,17,16,11,6,7,2,5,1,3,1,NA
868,1,1,1,13,32,48,48,67,63,63,76,83,75,36,30,30,17,14,15,6,5,2,2,1,1,1,1,NA,NA,NA
387,1,1,2,1,7,50,112,102,51,49,54,51,49,44,34,27,17,26,16,12,3,3,2,2,1,NA,NA,NA,NA,NA
1095,5,9,23,15,30,17,41,56,63,52,55,51,38,48,46,35,30,25,12,16,15,18,12,9,6,1,2,1,2,NA
552,22,56,54,81,116,53,18,22,35,49,56,40,21,22,20,13,13,11,8,8,5,4,3,1,1,NA,NA,NA,NA,NA
655,2,2,11,24,41,65,74,61,82,65,56,50,43,35,21,22,12,15,12,10,7,8,3,2,3,1,2,1,NA,NA
597,1,1,1,1,7,5,12,31,73,82,92,75,75,51,52,36,31,33,23,20,12,9,3,2,1,1,NA,NA,NA,NA
775,1,3,7,23,40,57,51,63,75,65,53,39,31,22,24,15,7,6,5,6,1,2,1,1,NA,NA,NA,NA,NA,NA
428,3,4,5,20,26,32,52,47,59,57,58,48,35,40,22,15,17,9,11,13,9,3,2,4,4,1,1,1,NA,NA
441,2,2,5,23,40,48,49,46,45,50,54,61,55,54,40,45,21,27,16,12,7,8,5,4,3,5,2,1,NA,NA
722,3,4,5,12,16,33,41,88,62,48,64,57,57,45,41,33,20,24,20,14,7,14,11,10,4,1,1,NA,NA,NA
356,1,1,2,13,14,30,49,52,61,63,69,64,74,47,44,39,23,18,16,9,17,3,3,5,2,4,2,1,1,1
33,1,1,1,2,20,32,68,62,51,66,77,73,56,52,44,36,20,18,12,15,8,6,1,3,2,1,2,NA,NA,NA
845,2,3,10,14,29,32,32,53,52,49,57,66,79,49,50,33,28,22,23,15,11,10,1,1,4,2,NA,NA,NA,NA
927,1,1,1,3,15,100,149,100,95,83,50,33,25,21,18,15,8,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
944,22,29,49,57,58,52,69,73,62,48,50,43,35,24,14,11,5,12,7,5,2,3,2,1,1,1,NA,NA,NA,NA
354,1,6,20,44,57,49,51,39,43,69,58,73,51,38,29,19,12,18,15,15,7,7,4,2,1,2,NA,NA,NA,NA
317,2,6,15,35,35,42,36,27,41,38,46,48,42,40,35,33,23,13,11,11,4,5,5,1,1,2,1,NA,NA,NA
1033,2,6,19,16,45,48,54,68,51,34,30,29,51,52,40,38,22,18,21,11,22,9,11,13,8,4,5,4,3,1
434,2,1,1,16,28,36,40,39,47,35,64,49,50,50,38,37,30,8,6,6,7,3,2,1,1,1,NA,NA,NA,NA
690,4,4,13,36,106,90,75,48,44,62,53,40,41,32,26,18,17,9,4,1,1,3,1,1,1,NA,NA,NA,NA,NA
811,2,1,4,11,17,49,55,79,87,64,66,67,43,41,27,20,21,13,22,11,5,11,7,5,3,1,1,1,1,NA
410,2,2,3,3,29,64,95,84,57,33,32,35,39,47,36,36,21,19,14,15,13,12,10,9,5,10,2,3,NA,NA
842,1,1,1,6,6,28,31,55,43,52,60,53,63,57,37,35,23,14,9,4,3,2,5,1,5,1,1,1,NA,NA
614,5,17,19,33,44,50,62,63,54,59,51,44,39,32,31,32,20,18,22,11,11,6,5,2,1,NA,NA,NA,NA,NA
683,5,14,21,28,41,47,50,56,53,54,55,48,40,44,36,29,21,21,17,13,11,8,11,5,3,1,1,1,1,NA
896,1,1,4,14,41,73,76,77,85,85,71,52,35,26,20,26,13,10,6,5,5,1,5,1,1,1,NA,NA,NA,NA
374,15,27,39,22,10,9,10,30,43,53,49,47,50,73,45,35,34,29,20,20,14,12,18,9,7,6,3,4,1,1
166,3,7,24,34,52,44,66,60,52,64,43,48,49,38,32,22,17,22,6,9,8,9,7,7,1,3,1,1,1,NA
46,1,2,30,55,66,53,39,53,38,45,46,42,32,19,16,13,13,9,3,9,4,5,1,2,1,1,NA,NA,NA,NA
208,6,14,18,51,41,52,49,52,56,71,62,69,39,50,27,24,21,9,5,4,4,4,1,2,1,1,2,NA,NA,NA
559,12,50,44,16,2,4,22,47,85,62,47,54,40,58,32,27,17,21,19,14,16,13,9,9,2,4,2,1,2,NA
302,5,7,32,45,37,48,37,35,37,44,64,66,55,52,47,27,25,17,6,11,8,7,7,6,1,3,1,1,1,NA
752,1,1,5,30,52,61,82,84,38,34,47,54,43,41,26,21,20,17,9,16,15,12,8,2,4,3,1,1,2,NA
1108,12,49,49,9,4,9,35,59,72,68,25,31,32,49,41,28,28,14,13,19,18,16,5,7,7,9,10,8,5,NA
11,2,2,6,15,23,37,56,79,67,65,56,51,56,36,49,33,24,14,15,8,11,10,5,6,3,3,1,2,NA,NA
766,1,1,2,2,3,13,29,53,51,47,63,64,61,47,35,32,26,19,14,10,10,5,2,3,2,2,1,NA,NA,NA
239,2,1,3,8,23,47,59,67,50,49,68,77,58,57,33,28,21,19,20,17,7,4,4,3,1,1,2,1,NA,NA
1061,1,1,4,3,9,14,40,45,60,61,51,50,61,47,57,44,44,36,19,17,12,10,12,7,6,5,4,5,2,1
287,1,8,10,18,27,40,38,30,30,45,36,39,24,37,32,38,23,26,33,11,16,17,7,4,5,1,1,1,NA,NA
360,4,17,32,40,46,60,58,50,38,35,35,38,39,48,34,38,16,12,19,12,15,7,14,9,6,6,1,1,1,4
436,7,20,52,42,63,64,43,49,41,60,52,46,38,23,31,21,10,11,18,10,11,7,3,3,2,2,1,1,NA,NA
265,1,9,31,43,27,14,28,40,84,63,29,42,44,49,31,38,28,20,20,20,11,13,11,9,5,3,9,4,2,2
548,1,2,17,156,149,97,107,69,46,39,21,4,5,1,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
886,3,2,1,1,2,31,48,56,83,86,74,65,66,70,40,32,29,15,13,3,3,4,1,1,1,NA,NA,NA,NA,NA
111,1,4,3,22,43,53,49,50,52,68,73,43,68,50,35,34,23,13,11,13,11,5,2,2,1,1,1,1,NA,NA
491,2,1,3,17,37,44,57,57,50,44,56,69,55,54,35,32,22,11,12,19,9,11,8,9,4,5,1,2,1,1
1058,2,5,9,31,49,44,46,60,48,48,45,41,37,43,32,42,27,27,19,25,14,10,10,11,1,2,2,NA,NA,NA
45,1,1,4,12,18,45,43,35,38,40,45,61,60,68,62,45,43,21,16,21,14,12,7,8,4,3,3,NA,NA,NA
533,5,20,40,48,60,67,52,69,61,48,40,40,28,38,20,24,20,11,8,3,2,9,3,5,2,3,1,1,NA,NA
195,2,2,1,1,1,2,9,18,50,60,50,54,53,49,71,68,44,34,33,26,24,16,16,14,9,12,4,1,4,2
338,1,2,13,38,60,96,69,64,52,60,54,42,34,35,31,19,16,11,10,5,6,4,4,4,1,1,NA,NA,NA,NA
901,6,23,25,42,50,61,48,52,49,32,59,45,41,41,21,25,10,16,14,15,13,11,13,2,6,4,5,3,2,1
676,3,10,20,22,27,36,52,77,113,92,79,79,61,41,25,23,15,12,12,17,9,6,12,3,4,1,2,2,1,NA
992,1,1,5,8,26,40,22,20,25,33,44,47,59,51,42,41,44,36,40,29,31,18,15,15,6,7,10,7,5,2
724,1,2,2,5,2,1,14,25,49,73,55,71,64,76,49,51,35,41,23,22,12,12,14,12,5,7,2,2,3,NA
642,2,3,11,15,35,52,52,68,69,64,57,44,54,41,37,25,31,18,19,15,11,2,3,1,1,NA,NA,NA,NA,NA
427,18,54,109,79,38,34,38,38,36,31,21,23,17,15,12,5,9,6,2,3,2,4,1,1,1,1,1,NA,NA,NA
456,2,1,1,12,35,64,87,69,57,57,42,48,41,37,32,30,20,18,17,12,17,7,8,9,1,2,1,2,1,NA
584,4,4,26,32,56,50,61,40,62,52,61,49,45,39,36,18,24,20,18,9,8,5,7,1,2,1,1,1,NA,NA
854,4,16,34,54,52,57,51,55,54,47,49,39,53,47,32,19,16,15,10,5,5,4,6,1,1,2,1,1,1,NA
231,1,1,3,4,22,39,52,39,31,35,44,42,48,42,49,39,21,19,12,17,12,10,6,3,1,2,2,2,NA,NA
438,16,56,91,111,73,46,47,64,50,46,34,20,18,11,11,11,7,6,2,1,3,2,1,1,2,1,NA,NA,NA,NA
48,4,8,11,22,24,26,36,41,46,55,53,66,48,48,49,31,24,34,31,24,13,6,8,8,8,6,1,3,1,NA
343,1,1,1,7,40,60,88,101,65,42,61,59,45,39,31,20,11,13,12,11,11,5,1,2,2,1,NA,NA,NA,NA
758,1,1,4,16,41,27,20,19,30,51,69,55,52,48,54,41,30,41,28,24,14,16,22,9,2,4,3,1,2,NA
737,2,4,21,54,86,92,75,66,56,50,45,34,36,22,21,15,5,11,4,17,8,1,2,1,2,NA,NA,NA,NA,NA
1088,1,2,4,9,20,38,46,41,46,83,56,42,39,44,59,57,27,27,21,21,11,16,10,3,4,1,1,1,NA,NA
919,5,15,32,23,26,17,43,47,50,35,33,37,27,39,31,18,26,17,20,21,7,8,6,4,2,1,2,3,1,1
115,1,1,3,6,15,22,40,45,51,39,54,43,34,42,36,42,26,32,16,14,9,9,7,5,2,1,2,1,NA,NA
670,1,1,1,4,25,55,68,60,63,28,33,33,35,37,29,21,19,19,15,14,8,9,4,7,2,2,2,1,1,NA
304,7,8,22,35,45,55,62,67,35,48,45,44,37,40,40,19,29,15,20,10,13,10,5,6,5,2,6,1,3,1
185,5,13,27,42,60,45,58,56,37,49,47,47,36,37,35,27,27,13,15,15,12,6,7,9,3,4,1,1,1,NA
23,1,1,3,4,23,45,80,74,53,51,37,28,60,40,48,38,26,22,18,12,11,8,13,8,8,6,5,3,4,NA
174,3,3,7,10,16,27,31,31,48,37,46,43,47,44,41,34,21,21,21,17,10,7,7,8,2,4,4,2,2,4
568,1,4,3,8,22,49,58,61,58,47,54,60,51,54,56,42,31,25,11,6,11,3,2,4,7,2,1,1,NA,NA
67,2,4,11,29,48,52,81,63,52,33,38,45,42,41,27,32,19,23,17,17,16,8,8,7,4,5,1,2,1,NA
429,1,2,4,10,28,47,42,46,73,56,61,52,44,20,29,19,15,17,7,7,4,5,4,3,1,1,NA,NA,NA,NA
847,4,11,32,37,49,42,53,49,47,58,54,49,48,42,28,14,25,19,11,12,9,10,5,5,5,3,2,3,1,NA
960,2,1,9,16,30,52,63,58,48,55,29,36,43,47,42,41,30,25,15,13,20,10,11,14,5,4,3,4,4,2
708,1,5,59,86,165,120,99,54,23,8,4,3,4,3,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,1,8,12,24,12,28,27,55,74,99,106,69,76,48,45,33,35,20,13,14,6,9,4,5,2,1,3,1,2,NA
78,3,3,6,17,28,25,71,56,51,59,36,31,40,53,51,43,28,21,15,24,12,10,13,6,10,8,4,2,4,1
401,17,46,45,11,3,6,28,66,76,86,67,55,55,39,26,26,19,15,14,9,8,3,4,2,1,1,2,1,NA,NA
73,7,20,27,32,16,14,5,10,19,36,53,49,53,57,48,46,48,38,22,23,22,13,27,11,17,8,5,6,3,NA
951,5,16,72,85,86,72,74,81,77,48,32,26,21,11,7,6,2,1,3,1,2,1,1,NA,NA,NA,NA,NA,NA,NA
276,11,18,19,31,27,16,12,13,21,36,52,62,49,36,51,46,42,43,34,24,19,14,13,18,9,9,4,1,1,NA
753,9,35,59,91,76,67,44,41,59,50,48,33,27,14,20,22,10,10,6,5,2,1,1,NA,NA,NA,NA,NA,NA,NA
542,3,3,15,27,45,60,59,45,42,33,48,30,30,26,24,21,19,23,12,13,7,2,4,1,3,2,1,NA,NA,NA
114,1,7,17,33,48,56,61,49,57,55,59,49,47,40,42,21,22,14,9,10,19,5,5,5,1,1,1,1,NA,NA
734,2,4,5,26,45,44,53,70,62,38,25,42,58,48,33,35,31,28,21,18,13,8,7,3,2,3,1,2,1,2
79,4,15,54,74,67,74,45,36,24,41,33,36,32,30,26,19,17,11,14,14,11,15,7,7,9,4,4,2,1,2
636,16,71,77,77,54,33,27,49,42,31,22,16,13,10,18,7,7,7,7,2,4,2,1,2,1,1,2,NA,NA,NA
924,3,7,23,45,35,48,87,70,65,54,53,52,45,41,33,9,20,10,14,8,4,1,1,1,1,NA,NA,NA,NA,NA
224,3,8,20,44,62,80,65,72,72,69,54,43,38,21,13,17,17,6,6,6,2,2,3,1,1,1,1,1,NA,NA
138,8,42,52,14,6,1,4,20,60,62,69,67,35,59,43,43,39,19,21,16,17,15,9,4,3,1,1,1,NA,NA
606,4,10,15,27,29,33,32,51,53,47,49,38,40,49,41,38,24,30,26,22,22,10,12,9,4,9,5,2,2,2
400,3,9,37,42,67,95,90,44,42,50,47,48,28,24,19,21,18,9,17,11,4,3,1,1,1,1,1,NA,NA,NA
754,12,16,25,34,41,49,65,59,53,54,45,58,41,37,27,20,19,26,17,10,3,9,4,2,4,1,1,1,NA,NA
1002,14,36,46,46,47,61,50,75,77,66,41,33,24,23,23,16,15,8,9,12,4,1,3,3,1,1,NA,NA,NA,NA
507,13,55,62,54,63,89,75,65,72,42,31,23,19,17,9,13,7,6,8,2,2,1,1,1,NA,NA,NA,NA,NA,NA
60,9,20,27,37,27,36,76,72,55,58,30,35,44,52,26,28,22,15,13,16,8,3,6,3,4,4,2,2,1,NA
1042,4,11,30,50,52,61,66,78,60,65,43,46,33,32,17,17,15,13,10,9,4,4,4,2,2,1,1,NA,NA,NA
777,2,6,10,19,36,39,54,78,64,60,68,51,41,38,36,33,27,18,15,7,9,8,2,3,1,3,1,1,NA,NA
709,1,6,44,32,14,11,12,3,1,1,4,19,36,63,62,83,64,60,55,34,27,29,25,20,10,10,6,1,1,1
100,2,13,43,74,106,98,87,60,42,24,14,8,6,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290,3,1,5,35,46,30,30,60,75,61,46,40,49,45,40,31,20,23,15,11,18,14,7,13,3,6,1,1,1,NA
506,5,7,29,57,62,89,61,40,46,34,36,44,41,27,27,25,17,14,13,11,13,6,6,7,8,3,1,1,NA,NA
